Pozo,Fecha,Produccion_Barriles,Presion_PSI,Temperatura_C,Agua_Producida_Barriles,Estado
Pozo C,2022-12-25,2043,2796,110.72,207,Cerrado
Pozo D,2022-07-06,1680,2134,110.98,348,Cerrado
Pozo E,2022-03-24,821,2369,78.31,444,Operando
Pozo C,2022-11-18,1675,2212,102.32,367,Cerrado
Pozo E,2022-01-01,2103,2627,93.8,459,Cerrado
Pozo B,2022-02-03,1259,2250,105.57,161,Operando
Pozo E,2022-09-21,1439,2493,66.89,86,Operando
Pozo A,2022-03-03,2066,2102,68.68,488,Operando
Pozo D,2022-06-08,997,2127,82.7,120,Mantenimiento
Pozo B,2022-06-11,1576,2653,87.04,261,Cerrado
Pozo E,2022-08-31,1952,2642,80.99,380,Cerrado
Pozo B,2022-04-09,1170,2061,96.25,295,Cerrado
Pozo C,2022-08-01,816,2159,92.05,476,Cerrado
Pozo A,2022-07-27,1412,2461,64.63,411,Operando
Pozo A,2022-02-01,963,2718,104.48,152,Mantenimiento
Pozo B,2022-07-12,1697,2329,113.78,90,Operando
Pozo B,2022-04-11,1021,2318,99.31,301,Cerrado
Pozo B,2022-09-28,1888,2064,106.55,193,Cerrado
Pozo A,2022-06-25,1949,2611,94.86,125,Operando
Pozo B,2022-03-29,1989,2408,83.02,314,Mantenimiento
Pozo D,2022-04-03,1437,2287,112.56,61,Mantenimiento
Pozo D,2022-10-08,935,2526,111.84,142,Cerrado
Pozo E,2022-04-06,1477,2265,95.22,302,Cerrado
Pozo E,2022-05-15,1895,2240,93.97,145,Operando
Pozo B,2022-05-19,966,2591,80.83,440,Cerrado
Pozo C,2022-04-18,1769,2235,91.42,58,Cerrado
Pozo E,2022-10-22,1395,2374,62.6,439,Mantenimiento
Pozo E,2022-02-08,2099,2126,76.14,132,Cerrado
Pozo B,2022-11-28,1649,2628,88.78,183,Operando
Pozo D,2022-05-22,1692,2417,108.2,285,Mantenimiento
Pozo D,2022-12-31,813,2557,91.23,339,Operando
Pozo A,2022-06-18,1167,2382,71.08,230,Mantenimiento
Pozo E,2022-08-04,1543,2175,89.72,472,Cerrado
Pozo A,2022-07-25,1376,2613,71.38,469,Cerrado
Pozo D,2022-11-18,1316,2687,107.17,399,Cerrado
Pozo C,2022-02-24,1196,2147,65.37,401,Operando
Pozo A,2022-10-12,905,2321,91.5,91,Cerrado
Pozo D,2022-11-30,1925,2743,63.81,202,Operando
Pozo C,2022-04-05,1534,2630,72.26,440,Cerrado
Pozo B,2022-09-07,1467,2456,75.89,261,Operando
Pozo E,2022-04-29,1879,2229,99.17,328,Cerrado
Pozo C,2022-05-09,1920,2790,98.93,312,Mantenimiento
Pozo C,2022-08-16,1464,2416,104.18,146,Operando
Pozo E,2022-02-15,2075,2107,65.56,92,Mantenimiento
Pozo D,2022-02-01,1835,2152,65.01,423,Mantenimiento
Pozo B,2022-01-12,1109,2795,69.12,264,Operando
Pozo B,2022-02-28,1515,2599,107.31,95,Cerrado
Pozo B,2022-03-10,1488,2792,94.33,50,Cerrado
Pozo C,2022-04-12,1592,2081,79.78,482,Mantenimiento
Pozo C,2022-01-19,1689,2137,91.62,441,Operando
Pozo C,2022-05-03,1233,2610,83.95,338,Cerrado
Pozo B,2022-03-08,1060,2212,66.39,265,Mantenimiento
Pozo E,2022-02-01,984,2698,77.26,457,Mantenimiento
Pozo E,2022-07-13,1587,2693,103.99,368,Operando
Pozo A,2022-01-02,1556,2555,67.03,153,Mantenimiento
Pozo D,2022-01-11,1039,2315,74.02,170,Mantenimiento
Pozo D,2022-02-21,1099,2560,74.67,266,Operando
Pozo E,2022-08-10,1166,2762,105.78,329,Operando
Pozo B,2022-07-30,1450,2269,74.77,85,Operando
Pozo A,2022-03-01,1012,2097,90.73,103,Cerrado
Pozo D,2022-05-04,1917,2432,116.1,96,Operando
Pozo E,2022-09-06,1836,2649,64.34,238,Mantenimiento
Pozo D,2022-09-23,848,2109,110.71,144,Cerrado
Pozo D,2022-08-25,1642,2414,72.15,232,Mantenimiento
Pozo C,2022-06-26,1536,2196,118.1,230,Cerrado
Pozo B,2022-08-17,955,2516,69.35,162,Operando
Pozo C,2022-05-24,1590,2340,76.23,351,Operando
Pozo E,2022-11-19,1750,2103,96.64,418,Mantenimiento
Pozo C,2022-05-26,1489,2186,61.82,62,Operando
Pozo A,2022-09-28,1075,2573,60.33,260,Mantenimiento
Pozo E,2022-01-01,1212,2167,60.58,173,Operando
Pozo B,2022-04-25,1904,2666,97.29,286,Operando
Pozo A,2022-04-06,2070,2707,68.88,178,Cerrado
Pozo C,2022-12-14,1402,2157,64.33,151,Mantenimiento
Pozo E,2022-02-19,1617,2378,72.07,323,Cerrado
Pozo E,2022-04-27,1340,2329,109.42,214,Operando
Pozo E,2022-05-14,1032,2387,118.23,176,Cerrado
Pozo E,2022-12-04,1511,2300,74.78,254,Operando
Pozo B,2022-12-31,1827,2442,74.08,161,Mantenimiento
Pozo D,2022-04-17,1913,2108,83.75,191,Mantenimiento
Pozo B,2022-02-11,1057,2300,98.18,474,Mantenimiento
Pozo E,2022-12-04,1218,2115,119.91,334,Cerrado
Pozo D,2022-05-14,870,2567,79.27,106,Cerrado
Pozo E,2022-10-03,1154,2328,96.13,102,Operando
Pozo B,2022-12-18,1239,2043,74.81,158,Mantenimiento
Pozo A,2022-09-24,1231,2467,111.02,412,Operando
Pozo B,2022-07-30,1511,2455,103.72,458,Operando
Pozo E,2022-01-10,1212,2130,66.93,268,Cerrado
Pozo A,2022-05-22,1444,2386,109.51,420,Operando
Pozo D,2022-02-04,2118,2107,110.52,148,Operando
Pozo C,2022-02-10,1692,2177,104.69,332,Operando
Pozo C,2022-01-04,1203,2757,82.0,86,Cerrado
Pozo A,2022-04-25,1755,2796,66.53,333,Operando
Pozo C,2022-01-18,1674,2638,85.73,440,Mantenimiento
Pozo A,2022-01-08,1229,2763,63.15,215,Operando
Pozo C,2022-08-03,1437,2448,119.94,166,Cerrado
Pozo D,2022-01-08,1446,2328,101.33,204,Operando
Pozo B,2022-06-12,1096,2116,115.04,421,Mantenimiento
Pozo B,2022-04-06,943,2547,65.11,301,Mantenimiento
Pozo B,2022-12-08,1145,2032,61.99,442,Cerrado
Pozo A,2022-05-06,1244,2444,90.87,225,Cerrado
Pozo D,2022-05-12,1185,2664,107.96,377,Operando
Pozo E,2022-06-19,871,2095,88.31,466,Cerrado
Pozo C,2022-08-07,1627,2250,80.48,169,Mantenimiento
Pozo D,2022-04-28,1497,2607,110.81,453,Operando
Pozo B,2022-05-10,809,2609,113.76,68,Mantenimiento
Pozo B,2022-06-09,1326,2208,61.68,419,Cerrado
Pozo E,2022-12-23,2144,2293,68.2,53,Mantenimiento
Pozo D,2022-08-18,1154,2614,77.24,83,Mantenimiento
Pozo E,2022-01-08,1905,2587,80.74,222,Cerrado
Pozo E,2022-06-02,1497,2239,76.43,282,Mantenimiento
Pozo E,2022-01-29,1606,2536,110.88,324,Mantenimiento
Pozo C,2022-07-11,1188,2377,85.22,73,Cerrado
Pozo C,2022-01-27,1279,2362,83.74,470,Operando
Pozo B,2022-07-20,885,2033,100.54,306,Cerrado
Pozo A,2022-08-15,1657,2180,72.49,170,Operando
Pozo A,2022-10-19,1221,2094,97.12,64,Cerrado
Pozo B,2022-03-14,1285,2378,119.19,236,Operando
Pozo E,2022-09-14,1344,2303,62.52,182,Mantenimiento
Pozo A,2022-01-15,2075,2254,72.82,395,Operando
Pozo B,2022-08-03,988,2346,110.6,391,Cerrado
Pozo D,2022-08-12,1124,2223,92.51,461,Operando
Pozo E,2022-08-04,1779,2489,109.97,275,Operando
Pozo D,2022-09-21,1470,2162,90.32,464,Mantenimiento
Pozo B,2022-12-23,1786,2640,77.34,496,Mantenimiento
Pozo D,2022-10-07,1358,2412,66.32,117,Operando
Pozo B,2022-01-17,1580,2005,92.48,463,Cerrado
Pozo B,2022-05-08,845,2002,106.68,113,Operando
Pozo A,2022-10-20,1834,2277,89.03,220,Operando
Pozo A,2022-11-13,1830,2015,87.2,204,Mantenimiento
Pozo B,2022-04-24,2149,2015,65.2,68,Mantenimiento
Pozo E,2022-08-26,1972,2328,95.32,460,Mantenimiento
Pozo C,2022-03-25,1239,2225,72.46,91,Operando
Pozo C,2022-04-09,1663,2659,94.99,134,Operando
Pozo A,2022-12-08,1021,2000,94.17,237,Cerrado
Pozo A,2022-09-18,1439,2138,98.78,131,Operando
Pozo A,2022-04-18,1379,2251,100.57,307,Mantenimiento
Pozo D,2022-12-03,1373,2131,61.99,97,Operando
Pozo E,2022-03-01,1895,2780,119.29,131,Mantenimiento
Pozo D,2022-08-21,1327,2521,95.05,67,Mantenimiento
Pozo B,2022-12-21,1163,2451,92.72,479,Operando
Pozo B,2022-01-05,1915,2717,71.76,132,Mantenimiento
Pozo C,2022-04-27,2179,2467,93.43,498,Mantenimiento
Pozo C,2022-06-24,1531,2416,90.87,407,Cerrado
Pozo C,2022-06-20,1729,2132,110.06,283,Mantenimiento
Pozo B,2022-11-21,1871,2512,78.58,243,Cerrado
Pozo E,2022-02-21,1717,2033,87.77,168,Cerrado
Pozo C,2022-11-12,1072,2579,93.72,492,Operando
Pozo E,2022-08-15,1299,2393,80.94,79,Cerrado
Pozo C,2022-10-30,1629,2608,91.79,430,Operando
Pozo E,2022-09-30,1130,2104,70.85,188,Cerrado
Pozo E,2022-05-30,1101,2115,91.92,400,Cerrado
Pozo E,2022-02-05,1255,2577,89.56,461,Operando
Pozo D,2022-06-04,920,2773,83.61,115,Operando
Pozo B,2022-06-18,1074,2696,79.58,437,Operando
Pozo B,2022-04-23,1211,2113,88.8,456,Operando
Pozo A,2022-12-20,1676,2036,107.13,132,Operando
Pozo B,2022-06-27,878,2512,76.1,387,Mantenimiento
Pozo A,2022-06-10,1468,2283,72.59,64,Cerrado
Pozo E,2022-03-03,2024,2735,100.01,477,Operando
Pozo B,2022-12-06,1201,2649,83.19,68,Mantenimiento
Pozo B,2022-06-24,1081,2710,101.43,168,Mantenimiento
Pozo B,2022-01-31,1601,2200,67.35,69,Cerrado
Pozo D,2022-02-16,882,2092,96.93,140,Mantenimiento
Pozo E,2022-04-26,1323,2392,113.06,395,Mantenimiento
Pozo B,2022-04-30,1932,2233,70.11,348,Mantenimiento
Pozo C,2022-09-11,1465,2179,115.31,432,Mantenimiento
Pozo B,2022-02-26,889,2702,79.92,401,Mantenimiento
Pozo D,2022-05-09,2026,2157,110.75,341,Cerrado
Pozo D,2022-05-16,1591,2151,70.94,471,Mantenimiento
Pozo A,2022-05-04,1090,2662,83.17,167,Operando
Pozo A,2022-08-13,1940,2197,117.78,66,Cerrado
Pozo C,2022-10-15,1936,2476,78.13,237,Cerrado
Pozo B,2022-12-30,1069,2393,112.12,202,Operando
Pozo C,2022-08-13,1843,2164,99.31,486,Mantenimiento
Pozo D,2022-02-13,2034,2029,60.55,437,Operando
Pozo C,2022-11-01,1141,2454,79.69,498,Cerrado
Pozo A,2022-06-18,843,2294,95.08,72,Operando
Pozo B,2022-10-02,1723,2374,60.77,311,Mantenimiento
Pozo B,2022-02-07,998,2360,104.76,499,Mantenimiento
Pozo D,2022-12-03,1080,2169,69.51,476,Operando
Pozo C,2022-04-18,983,2306,74.11,385,Cerrado
Pozo A,2022-08-18,2026,2271,60.41,205,Cerrado
Pozo A,2022-08-19,2005,2549,119.24,300,Operando
Pozo E,2022-11-25,2182,2776,79.95,491,Operando
Pozo E,2022-08-14,2050,2533,84.0,447,Mantenimiento
Pozo C,2022-03-09,1119,2661,70.11,201,Cerrado
Pozo E,2022-03-02,2085,2646,100.08,207,Operando
Pozo A,2022-03-05,1396,2072,93.88,207,Operando
Pozo E,2022-07-14,1207,2328,101.17,170,Cerrado
Pozo C,2022-08-26,809,2281,94.99,157,Operando
Pozo B,2022-05-03,2097,2324,113.68,104,Mantenimiento
Pozo E,2022-09-20,1538,2437,83.92,233,Mantenimiento
Pozo B,2022-07-05,2119,2673,104.19,450,Operando
Pozo B,2022-02-06,1123,2789,82.87,111,Mantenimiento
Pozo A,2022-03-31,1446,2621,96.55,134,Mantenimiento
Pozo A,2022-11-16,1429,2449,61.98,235,Mantenimiento
Pozo D,2022-05-22,977,2177,77.57,102,Cerrado
Pozo A,2022-03-08,1708,2627,72.46,248,Cerrado
Pozo B,2022-03-29,1585,2380,89.76,461,Cerrado
Pozo D,2022-06-09,2065,2678,87.08,475,Mantenimiento
Pozo A,2022-04-05,1235,2305,84.54,448,Mantenimiento
Pozo E,2022-02-10,831,2544,63.6,410,Cerrado
Pozo E,2022-12-12,1313,2485,60.26,212,Cerrado
Pozo D,2022-05-25,1685,2267,62.45,476,Mantenimiento
Pozo C,2022-05-14,1676,2142,67.05,468,Operando
Pozo A,2022-03-22,2045,2204,115.69,68,Cerrado
Pozo E,2022-09-28,1869,2655,90.17,150,Cerrado
Pozo D,2022-03-23,1363,2736,67.34,363,Mantenimiento
Pozo E,2022-06-29,1371,2321,86.87,400,Cerrado
Pozo A,2022-01-07,1737,2754,98.2,144,Mantenimiento
Pozo E,2022-08-05,1527,2697,74.98,476,Mantenimiento
Pozo E,2022-05-07,1074,2244,117.08,87,Cerrado
Pozo B,2022-09-01,1344,2490,114.86,447,Operando
Pozo B,2022-12-02,1118,2413,95.58,304,Operando
Pozo D,2022-08-12,1125,2299,92.65,317,Mantenimiento
Pozo A,2022-12-30,1120,2577,86.64,454,Mantenimiento
Pozo B,2022-05-17,1227,2026,84.0,393,Cerrado
Pozo E,2022-03-06,1666,2734,117.64,466,Mantenimiento
Pozo C,2022-07-03,1973,2590,115.41,288,Mantenimiento
Pozo E,2022-07-10,1443,2452,114.11,495,Operando
Pozo D,2022-04-24,1762,2429,70.52,111,Operando
Pozo C,2022-05-06,1555,2416,87.7,285,Mantenimiento
Pozo A,2022-07-20,1134,2513,71.45,321,Mantenimiento
Pozo B,2022-05-19,2187,2310,87.58,203,Mantenimiento
Pozo D,2022-03-06,2006,2788,70.7,226,Mantenimiento
Pozo C,2022-05-17,1315,2318,118.64,174,Operando
Pozo C,2022-05-19,2051,2507,106.49,89,Operando
Pozo A,2022-04-30,1119,2291,96.31,58,Mantenimiento
Pozo A,2022-05-06,1422,2311,90.02,146,Mantenimiento
Pozo B,2022-12-24,1822,2595,117.08,370,Mantenimiento
Pozo D,2022-12-05,1979,2147,87.35,283,Cerrado
Pozo A,2022-03-25,1189,2250,67.73,51,Mantenimiento
Pozo A,2022-06-23,1774,2784,79.01,423,Mantenimiento
Pozo D,2022-02-23,2152,2711,76.01,199,Cerrado
Pozo D,2022-08-15,1139,2212,109.45,265,Mantenimiento
Pozo D,2022-02-04,1015,2647,62.79,457,Cerrado
Pozo B,2022-06-21,845,2382,111.91,411,Operando
Pozo A,2022-10-26,2088,2408,87.9,88,Mantenimiento
Pozo D,2022-09-01,1274,2554,84.33,106,Cerrado
Pozo E,2022-10-27,813,2164,115.81,339,Mantenimiento
Pozo C,2022-01-23,1035,2722,116.72,387,Cerrado
Pozo C,2022-07-13,1448,2671,106.78,378,Operando
Pozo A,2022-02-24,1784,2398,94.24,267,Mantenimiento
Pozo C,2022-06-25,1688,2543,99.47,481,Cerrado
Pozo E,2022-10-07,948,2027,65.44,264,Mantenimiento
Pozo D,2022-01-11,1278,2616,108.43,373,Cerrado
Pozo A,2022-12-21,1959,2572,109.38,86,Operando
Pozo C,2022-07-23,1622,2456,92.67,93,Mantenimiento
Pozo A,2022-09-01,847,2627,86.05,490,Mantenimiento
Pozo B,2022-05-11,1909,2024,102.76,457,Mantenimiento
Pozo C,2022-01-10,936,2798,105.63,380,Operando
Pozo E,2022-07-23,1642,2744,98.71,128,Operando
Pozo D,2022-05-20,1392,2550,86.67,293,Operando
Pozo E,2022-10-31,1706,2229,95.96,346,Operando
Pozo D,2022-05-01,2164,2068,73.04,278,Cerrado
Pozo C,2022-11-14,2042,2165,117.3,172,Mantenimiento
Pozo D,2022-09-27,1463,2642,113.77,119,Mantenimiento
Pozo B,2022-09-17,1979,2738,85.92,480,Operando
Pozo D,2022-12-27,1060,2276,62.11,244,Cerrado
Pozo E,2022-05-23,1876,2341,64.7,357,Operando
Pozo B,2022-04-28,861,2595,104.21,400,Cerrado
Pozo D,2022-09-21,1576,2776,104.82,480,Mantenimiento
Pozo E,2022-05-31,1993,2112,100.91,190,Operando
Pozo B,2022-07-21,1699,2101,65.27,287,Mantenimiento
Pozo A,2022-10-07,1073,2554,110.24,118,Cerrado
Pozo B,2022-11-28,2144,2348,104.15,283,Cerrado
Pozo D,2022-07-03,1004,2203,114.3,408,Operando
Pozo C,2022-07-01,2151,2493,74.22,439,Cerrado
Pozo D,2022-02-16,1859,2053,63.17,277,Operando
Pozo C,2022-03-15,1976,2145,61.03,55,Operando
Pozo D,2022-11-29,1793,2561,88.64,214,Operando
Pozo A,2022-05-02,1386,2036,113.35,160,Mantenimiento
Pozo E,2022-09-25,1749,2079,64.04,338,Cerrado
Pozo D,2022-09-17,1239,2248,109.92,254,Operando
Pozo A,2022-12-18,1976,2551,62.12,199,Mantenimiento
Pozo B,2022-11-17,1402,2375,103.07,177,Cerrado
Pozo B,2022-08-25,817,2289,104.65,261,Cerrado
Pozo D,2022-02-03,1067,2502,111.34,257,Mantenimiento
Pozo A,2022-01-20,1525,2283,87.81,53,Cerrado
Pozo D,2022-01-19,1705,2549,113.09,227,Operando
Pozo A,2022-10-27,1271,2449,66.21,368,Operando
Pozo D,2022-11-23,2076,2372,94.47,370,Cerrado
Pozo A,2022-04-21,2058,2469,83.85,183,Mantenimiento
Pozo C,2022-12-27,1660,2104,64.32,61,Operando
Pozo A,2022-03-30,1363,2724,71.26,62,Cerrado
Pozo A,2022-03-28,800,2403,97.86,248,Mantenimiento
Pozo A,2022-02-26,2145,2750,101.61,96,Mantenimiento
Pozo C,2022-05-22,1973,2356,69.02,226,Operando
Pozo C,2022-11-09,1407,2744,80.25,467,Operando
Pozo E,2022-02-21,1819,2430,98.55,337,Operando
Pozo C,2022-06-08,1419,2179,86.51,258,Cerrado
Pozo A,2022-04-13,1581,2114,81.07,333,Cerrado
Pozo C,2022-02-02,1484,2397,72.01,362,Mantenimiento
Pozo A,2022-06-09,1569,2471,89.75,459,Mantenimiento
Pozo C,2022-07-28,828,2212,73.12,146,Cerrado
Pozo B,2022-05-21,1316,2435,64.78,413,Operando
Pozo C,2022-04-27,889,2563,114.52,373,Operando
Pozo E,2022-07-03,2041,2090,74.97,343,Cerrado
Pozo C,2022-06-13,2018,2430,116.59,496,Mantenimiento
Pozo C,2022-10-05,1825,2682,86.94,378,Mantenimiento
Pozo E,2022-02-04,1646,2433,62.34,414,Operando
Pozo C,2022-06-14,1092,2570,61.79,234,Mantenimiento
Pozo C,2022-06-03,1882,2064,85.99,497,Mantenimiento
Pozo C,2022-03-30,1737,2593,119.53,436,Mantenimiento
Pozo E,2023-01-01,1469,2732,69.55,97,Operando
Pozo D,2022-04-21,1786,2763,82.37,64,Cerrado
Pozo E,2022-04-11,882,2194,71.31,422,Mantenimiento
Pozo A,2022-11-25,1506,2535,119.07,150,Mantenimiento
Pozo D,2022-05-24,2151,2295,89.52,138,Mantenimiento
Pozo B,2022-06-02,907,2006,64.19,446,Operando
Pozo C,2022-05-06,1494,2146,70.9,436,Cerrado
Pozo E,2022-01-05,975,2067,60.09,205,Operando
Pozo C,2022-08-07,1998,2574,90.57,192,Mantenimiento
Pozo C,2022-10-09,1928,2100,102.77,387,Operando
Pozo E,2022-03-21,1172,2239,70.99,296,Cerrado
Pozo E,2022-06-04,1637,2403,71.09,118,Operando
Pozo B,2022-04-13,1696,2681,103.64,196,Mantenimiento
Pozo D,2022-08-26,2093,2396,115.26,497,Cerrado
Pozo C,2022-10-09,1475,2547,113.19,383,Mantenimiento
Pozo E,2022-09-03,1456,2330,107.03,357,Mantenimiento
Pozo A,2022-09-30,1518,2226,63.41,371,Mantenimiento
Pozo E,2022-07-09,1536,2150,77.06,415,Mantenimiento
Pozo D,2022-02-24,1831,2299,115.36,324,Mantenimiento
Pozo C,2022-08-21,1130,2506,81.18,215,Mantenimiento
Pozo D,2022-10-15,1588,2150,119.84,322,Operando
Pozo A,2022-10-06,1819,2732,78.39,339,Mantenimiento
Pozo E,2022-12-17,2071,2404,102.55,212,Cerrado
Pozo E,2022-06-25,1796,2431,82.17,93,Mantenimiento
Pozo E,2022-01-14,1508,2600,65.14,286,Cerrado
Pozo B,2022-12-14,1873,2724,68.3,275,Mantenimiento
Pozo D,2022-09-01,959,2688,60.83,301,Operando
Pozo A,2022-07-21,811,2038,68.57,125,Mantenimiento
Pozo D,2022-05-27,1205,2593,101.11,75,Cerrado
Pozo C,2022-03-02,1904,2460,96.38,231,Mantenimiento
Pozo E,2022-04-23,2076,2537,91.39,374,Mantenimiento
Pozo E,2022-04-21,881,2611,74.5,310,Mantenimiento
Pozo E,2022-12-08,1477,2535,107.89,110,Operando
Pozo B,2022-12-29,1648,2514,64.74,371,Operando
Pozo B,2022-09-25,1215,2219,63.38,391,Cerrado
Pozo B,2022-02-24,1403,2492,61.82,252,Mantenimiento
Pozo C,2022-06-21,1836,2327,70.36,458,Cerrado
Pozo E,2022-11-24,1308,2691,94.55,393,Operando
Pozo B,2022-07-06,1697,2763,88.16,375,Cerrado
Pozo A,2022-11-15,1220,2035,64.79,422,Mantenimiento
Pozo D,2022-03-18,1296,2679,63.51,453,Cerrado
Pozo B,2022-04-14,2001,2756,84.06,146,Operando
Pozo D,2022-01-10,1176,2430,80.27,79,Mantenimiento
Pozo B,2022-08-21,1848,2297,88.1,359,Cerrado
Pozo B,2022-06-23,2021,2467,106.11,469,Cerrado
Pozo B,2022-06-16,1663,2226,93.22,255,Cerrado
Pozo E,2022-05-07,1834,2643,99.06,428,Operando
Pozo A,2022-11-27,1155,2647,108.3,273,Mantenimiento
Pozo A,2022-04-01,1996,2110,62.06,367,Operando
Pozo B,2022-05-17,1566,2682,107.16,492,Mantenimiento
Pozo E,2022-11-19,896,2165,93.8,143,Mantenimiento
Pozo C,2022-02-11,2053,2044,98.98,452,Cerrado
Pozo E,2022-12-25,1938,2279,91.4,253,Mantenimiento
Pozo B,2022-08-04,1250,2669,114.31,474,Cerrado
Pozo E,2022-04-11,801,2635,69.03,368,Mantenimiento
Pozo D,2022-12-14,2057,2742,82.69,315,Operando
Pozo C,2022-03-25,1957,2036,115.67,418,Operando
Pozo C,2022-05-20,1043,2577,118.0,104,Cerrado
Pozo E,2022-10-28,947,2684,107.35,341,Mantenimiento
Pozo C,2022-01-20,1091,2352,93.91,389,Operando
Pozo B,2022-06-09,1924,2367,89.24,74,Operando
Pozo B,2022-07-05,986,2187,73.91,91,Operando
Pozo C,2022-09-17,1584,2567,107.26,497,Mantenimiento
Pozo B,2022-08-16,2162,2024,97.65,387,Cerrado
Pozo B,2022-01-02,1543,2407,104.25,123,Operando
Pozo C,2022-09-12,1486,2461,67.35,177,Cerrado
Pozo E,2022-08-17,898,2331,116.55,451,Operando
Pozo A,2022-03-25,2097,2751,108.24,448,Cerrado
Pozo B,2022-10-14,2000,2084,69.26,436,Operando
Pozo B,2022-10-16,2089,2397,90.68,220,Operando
Pozo D,2022-10-26,904,2352,67.32,174,Mantenimiento
Pozo E,2022-07-01,2036,2021,97.01,153,Operando
Pozo E,2022-02-24,881,2281,97.88,480,Mantenimiento
Pozo D,2022-10-16,1573,2229,109.61,363,Operando
Pozo E,2022-06-17,1228,2367,107.39,474,Operando
Pozo A,2022-06-21,1275,2451,72.28,229,Mantenimiento
Pozo D,2022-06-01,1936,2642,92.14,110,Operando
Pozo A,2022-02-15,2118,2142,107.22,282,Cerrado
Pozo A,2022-09-09,955,2628,82.78,389,Cerrado
Pozo C,2022-04-24,883,2606,118.45,435,Operando
Pozo C,2022-04-17,1303,2599,107.42,436,Cerrado
Pozo E,2022-02-03,1831,2370,76.68,142,Cerrado
Pozo E,2022-02-06,1186,2455,61.24,443,Mantenimiento
Pozo C,2022-03-20,1405,2268,97.13,425,Cerrado
Pozo A,2022-03-14,1426,2705,71.31,195,Operando
Pozo D,2022-04-12,1060,2782,112.72,356,Cerrado
Pozo A,2022-05-22,987,2157,61.33,211,Cerrado
Pozo B,2022-11-11,1623,2047,108.89,379,Operando
Pozo A,2022-06-16,2079,2345,90.03,453,Mantenimiento
Pozo B,2022-11-25,1346,2314,101.97,429,Cerrado
Pozo B,2022-06-04,2113,2461,108.18,183,Operando
Pozo D,2022-03-11,1228,2789,109.82,456,Operando
Pozo C,2022-10-04,1609,2189,96.86,416,Mantenimiento
Pozo B,2022-04-18,982,2204,74.8,338,Cerrado
Pozo C,2022-03-28,1236,2767,80.18,354,Operando
Pozo D,2022-02-08,1559,2677,70.09,404,Cerrado
Pozo A,2022-05-04,1500,2689,101.79,126,Cerrado
Pozo B,2022-02-22,1585,2496,63.31,66,Mantenimiento
Pozo B,2022-01-20,1592,2624,96.88,486,Cerrado
Pozo B,2022-04-07,2076,2518,72.3,305,Cerrado
Pozo B,2022-04-04,1534,2791,119.21,190,Operando
Pozo D,2022-11-11,1027,2613,98.32,90,Mantenimiento
Pozo E,2022-08-22,1029,2769,105.3,167,Cerrado
Pozo D,2022-11-18,1645,2363,66.53,244,Cerrado
Pozo D,2022-08-12,1616,2603,100.56,131,Mantenimiento
Pozo C,2022-03-15,1585,2187,63.04,52,Cerrado
Pozo B,2022-12-30,1535,2100,99.35,345,Operando
Pozo B,2022-02-07,1409,2192,95.43,443,Operando
Pozo E,2022-05-20,2179,2782,61.46,206,Mantenimiento
Pozo C,2022-11-08,1028,2730,111.1,300,Mantenimiento
Pozo B,2022-02-13,1939,2787,63.23,212,Operando
Pozo D,2022-02-05,1434,2118,112.32,141,Operando
Pozo B,2022-03-28,2012,2664,64.01,438,Cerrado
Pozo B,2022-01-24,882,2730,63.1,141,Mantenimiento
Pozo B,2022-11-16,2021,2509,67.2,350,Cerrado
Pozo C,2022-03-02,1654,2619,83.24,162,Mantenimiento
Pozo E,2022-10-13,1593,2501,78.2,345,Mantenimiento
Pozo E,2022-10-17,1859,2362,69.54,455,Operando
Pozo E,2022-04-22,903,2321,107.62,184,Cerrado
Pozo A,2022-01-04,1602,2624,80.85,478,Mantenimiento
Pozo C,2022-07-04,843,2681,71.43,265,Mantenimiento
Pozo E,2022-05-21,2189,2276,68.99,489,Mantenimiento
Pozo C,2022-10-29,1992,2007,118.86,110,Operando
Pozo B,2022-07-22,2185,2530,87.15,496,Operando
Pozo C,2022-07-24,835,2538,64.67,447,Cerrado
Pozo B,2022-03-09,2184,2388,97.79,132,Operando
Pozo A,2022-11-06,1547,2679,115.42,172,Operando
Pozo C,2022-08-01,1024,2641,90.91,53,Mantenimiento
Pozo E,2022-06-16,2168,2397,94.91,203,Mantenimiento
Pozo B,2022-08-13,1129,2197,91.49,60,Cerrado
Pozo B,2022-11-02,2105,2666,68.79,388,Cerrado
Pozo A,2022-09-15,1118,2106,91.32,229,Operando
Pozo E,2022-05-04,1662,2069,82.2,147,Operando
Pozo E,2022-10-16,2091,2154,115.16,478,Mantenimiento
Pozo B,2022-08-15,1426,2417,103.93,109,Operando
Pozo C,2022-08-13,1002,2241,113.99,98,Mantenimiento
Pozo D,2022-12-19,808,2740,114.88,424,Operando
Pozo A,2022-08-24,1518,2442,75.16,445,Operando
Pozo C,2022-09-26,1828,2793,111.63,262,Mantenimiento
Pozo A,2022-03-17,960,2483,108.04,117,Mantenimiento
Pozo B,2022-04-25,1242,2370,73.13,73,Mantenimiento
Pozo B,2022-12-10,1070,2640,114.4,441,Cerrado
Pozo D,2022-11-13,2009,2020,111.97,306,Operando
Pozo B,2022-12-11,1165,2128,118.65,302,Mantenimiento
Pozo B,2022-10-28,1698,2041,74.59,66,Operando
Pozo B,2022-01-21,896,2748,94.81,201,Cerrado
